College Code,college name ,sopc name ,spoc number ,Student counr,verified count
2126,Sri muthukumaran institute of Technology ,Shanty Chelliah,,468,468
2129,St Joseph college of Engineering ,S.karthi,,816,816
5134,University College of Engineering kanchipuram ,Dr.K.SelvaBhuvaneswari ,,682,682
3101,ANAND INSTITUTE OF HIGHER TECHNOLOGY,Dr B SAMPATH KUMAR,,915,915
3103,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,SHARBUDDIN ALI,,548,547
3105,Dhanalakshmi Srinivasan College of Engineering and Technology,Dr. V.Devarajan,,1133,1130
3107,Jawahar Engineering College,Nivaskumar.V,,14,14
3108,Jeppiaar Engineering College ,M.Goudhaman,,1265,1259
3110,KCG College of Technology,Dr. S Cloudin,,1575,1572
3111,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr Moses Raja Cecil ,,1090,1090
3114,MEENAKSHI COLLEGE OF ENGINEERING,Dr.R.Seshasayanan,,859,859
3115,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,Dr. S. KAMATCHI SANKARAN ,,1141,1141
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,Dr.sasikala.T,,527,527
3118,MOHAMMED SATHAK A.J.COLLEGE OF ENGINEERING,Dr.I.Manju,,557,557
3121,SMK FOMRA INSTITUTE OF TECHNOLOGY,Mr.P. Sathish Kumar,,155,32
3124,ST.JOSEPH'S INSTITUTE OF TECHNOLOGY,Dr. K. Vijayakumar ,,3424,1713
3126,THANGAVELU ENGINEERING COLLEGE ,D Beulah Pretty,,144,142
3128,Agni College of Technology,Mr S Ohm shankar,,1069,1053
4101,ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr. Thangavel,,722,722
4103,ARM COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr.N. Ramadoss ,,69,69
4106,Dhaanish Ahmed College of Engineering ,Dr.P. Anand,,578,577
4107,DHANALAKSHMI COLLEGE OF ENGINEERING,Ms Pauline Jothi Kiruba G J,,779,778
4108,G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,,,256,0
4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,Ramesh Kumar,,489,489
4115,PERI INSTITUTE OF TECHNOLOGY,BHUVANESWARI SUNDARI,,715,707
4117,PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE,Dr. V. Mahalakshmi,,588,587
4118,RRASE COLLEGE OF ENGINEERING,Dr.Thankaraj.A,,397,397
4121,SRI KRISHNA INSTITUTE OF TECHNOLOGY,PARTHIBAN N,,27,27
4123,SRI RAMANUJAR ENGINEERING COLLEGE,Mr.S.Srikanth ,,388,388
4126,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,Mrs. Anburaman,,338,325
4127,Tagore Engineering College ,Dr.R.Porselvi,,451,451
4130,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,KUMARESAN S,,309,309
4119,SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING,,,41,0
4204,ADHIPARASAKTHI ENGINEERING COLLEGE,Dr.A BHUVANESWARI,,677,676
4208,Chendu College of Engineering and Technology,Mr.T.Karunaraiselvi,,116,116
4212,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr.A.Manimaran,,758,758
4216,Mailam engineering college,Dr. P. Saravanan,,1241,1233
4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,J. Sathish ,,60,60
4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,P THIRUGNANASAMBANDHAM,,229,228
4223,THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,N L RAJA RAJA SHOLAN ,,330,328
5104,Arunai Engineering College ,Dr M Jothish Kumar,,1207,1205
5122,S.K.P. ENGINEERING COLLEGE,Dr Rajji,,266,265
4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,DR. A.VELMURUGAN,,696,695
4203,A.R. ENGINEERING COLLEGE,D.MANIKANDAN,,155,155
4206,ANNAI TERESA COLLEGE OF ENGINEERING,MANOHAR M,,416,404
4207,C.K. COLLEGE OF ENGINEERING & TECHNOLOGY,Dr M Arulaalan,,807,804
4213,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,R SHENBAGAVALLI ,,590,589
4221,St. Anne's College of Engineering and Technology,Dr. S. Anita ,,334,334
4222,Surya Group of Institutions ,Prof.GowriSankar,,445,441
4225,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",Dr.M.Phemina Selvi,,628,628
4226,UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,Dr.A.SENTHILKUMAR,,560,559
4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,SUBRAMANIYAN C,,567,565
6211,Idhaya Engineering College for Women,C Jansi Sophia Mary,,193,193
6214,MAHA BARATHI ENGINEERING COLLEGE,Sathiyapriya ,,636,636
6229,T.S.M. JAIN COLLEGE OF TECHNOLOGY,PRABAKARAN P,,414,404
8224,M R K INSTITUTE OF TECHNOLOGY,Dr. D. CHARLES GASPARRAJ,,751,749
5101,Adhiparasakthi College of Engineering,Dr.S S RajSolay Anand,,309,309
5102,ANNAMALAIAR COLLEGE OF ENGINEERING,Mr.K.CHOLAN ,,267,266
5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING,RT ANBURAJ,,148,148
5106,C.  Abdul Hakeem college of engineering and technology,Dr. K. Lokeshwaran,,663,662
5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,Durai kumar D,,237,237
5109,Global Institute of Engineering and Technology,Dr.Vijay Vikram A.S,,604,604
5113,KINGSTON ENGINEERING COLLEGE,M.MENAKA,,597,597
5114,OXFORD COLLEGE OF ENGINEERING,R.Sathishkumar,,141,141
5115,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr. K. Venkatesan,,511,459
5117,Pallavan College of Engineering,GOPAL V,,196,195
5126,SREE KRISHNA COLLEGE OF ENGINEERING,Praveen kumar B,,240,240
5127,SRI BALAJI CHOCKALINGAM ENGINEERING COLLEGE,BOOPATHI S,,421,419
5131,THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,"Dr.V.Vetrivelan, AP/Physics",,1165,1164
5132,THIRUMALAI ENGINEERING COLLEGE,Rajalakshmi R,,387,386
5133,University College of Engineering ARNI,Mrs.C.Shoba,,477,477
5135,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY,V.Sivasankari,,375,374
5105,Bharathidasan Engineering College ,PRAKASH VELAYUDHAM,,404,401
5118,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY,Raj Ganesh A ,,166,166
5119,Priyadarshi Engineering college ,Dr.R.THENMOZHI,,469,458
6105,Dhirajlal Gandhi College of Technology,Gopinath K,,1004,987
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,Mr. S. SEKAR ,,967,966
6109,JAYALAKSHMI INSTITUTE OF TECHNOLOGY,Dr. S.Venkatesan,,1012,887
6110,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Mr Natarasan ,,732,732
6117,NARASU'S SARATHY INSTITUTE OF TECHNOLOGY,S.Suresh,,541,541
6118,P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr M SRINIVASAN ,,739,733
6120,SAPTHAGIRI COLLEGE OF ENGINEERING,S.BALAJI,,146,146
6126,THE KAVERY COLLEGE OF ENGINEERING,S BHARATHI,,145,145
6127,THE KAVERY ENGINEERING COLLEGE,Mr.S.A.Chennakesavan,,927,926
6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,Ravindran.A,,558,556
6135,"Government College of Engineering, Dharmapuri",ALOK KUMAR,,731,731
6226,SHREENIVASA ENGINEERING COLLEGE,Dr.R.Thiyagarajan,,534,532
6102,ANNAPOORANA ENGINEERING COLLEGE,Kumarvel R,,593,592
6112,KNOWLEDGE INSTITUTE OF TECHNOLOGY,T KARTHIKEYAN,,1603,1597
6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,Dr. N. Rathika,,507,507
6115,Mahindra Institute of Engineering & Technology,S PARTHIBAN ,,341,341
6124,Shree Sathyam College of Engineering and Technology ,Elangovan R,,155,155
6201,AVS Engineering College,Dr.R.Viswanathan,,1225,1191
6202,Annai mathammal sheela Engineering college ,P Balakrishnan ,,418,416
6203,Bharathiyar Institute of engineering for women,R.Kanimozhi,,503,502
6206,Ganesh College of Engineering,A KUMARAN,,540,493
6208,GNANAMANI COLLEGE OF TECHNOLOGY,S GOPINATH ,,1776,1776
6215,MAHENDRA COLLEGE OF ENGINEERING,Dr. S.BALAMURUGAN,,825,824
6217,Muthayammal College of Engineering,Dr. R. Ramesh,,607,607
6218,PGP COLLEGE OF ENGINEERING AND TECHNOLOGY ,P.SATHISHKUMAR,,179,179
6220,PAAVAI COLLEGE OF ENGINEERING,R Harisuthan ,,669,669
6222,PAVAI COLLEGE OF TECHNOLOGY,R.Duraimurugan ,,353,353
6224,SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY,ARUN R,,830,802
6225,SELVAM COLLEGE OF TECHNOLOGY,Dr.K.Vidyavathi,,659,659
6227,SRG ENGINEERING COLLEGE ,siva guru,,317,317
6230,Tagore Institute of Engineering and Technology ,Dr.P.Prasanth,,526,526
6231,VSA GROUP OF INSTITUTIONS,Dr.L.GOBINATHAN,,243,243
6233,VETRI VINAYAHA COLLEGE OF ENGINEERING AND TECHNOLOGY,SARAVANAN .M,,137,137
6235,AVS COLLEGE OF TECHNOLOGY,M.Karthikeyan,,662,662
7100,"Anna University, Regional Campus Coimbatore",Dr. N. Kumaresan,,584,581
7101,ADITHYA INSTITUTE OF TECHNOLOGY,Dr.D.Palaniswamy,,416,416
7103,ANGEL COLLEGE OF ENGINEERING AND TECHNOLOGY,Mr. C. Vasanthakumar,,290,290
7104,CHRIST THE KING ENGINEERING COLLEGE,Suresh Babu V,,512,512
7106,CSI COLLEGE OF ENGINEERING,G Thiagarajan,,338,332
7107,"Dr.N.G.P Institute of Technology,  Coimbatore ",Dr.Karthikeyan ,,3145,1572
7110,INFO INSTITUTE OF ENGINEERING,Dr. P.D.R. Vijayakumar,,179,179
7111,Jansons Institute of Technology ,Gowtham P,,736,736
7112,JAI SHRIRAM ENGINEERING COLLEGE,Dr.N.Lakshmipriya,,548,548
7116,KATHIR COLLEGE OF ENGINEERING,S. Nithyasai,,508,508
7117,KGISL INSTITUTE OF TECHNOLOGY,B. Lawrence Burer ,,1230,1230
7122,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,Satheesh kumar,,688,687
7123,PARK COLLEGE OF TECHNOLOGY,P.MANIVANNAN,,52,2
7125,PPG INSTITUTE OF TECHNOLOGY ,D.NITHYAPRAKASH,,355,355
7128,R V S COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr. P. SELVARAJU,,617,611
7129,RVS TECHNICAL CAMPUS-COIMBATORE,Mr.Satheesh.T,,633,626
7131,SRI SAI RANGANATHAN ENGINEERING COLLEGE,N.S. Vijayakumar,,197,197
7136,SREE SAKTHI ENGINEERING COLLEGE,B.LOGESH,,359,106
7139,SRI RANGANATHAR INSTITUTE OF ENGINEERING & TECHNOLOGY,Mr.M.G. Gnanavel,,574,572
7142,Tamilnadu College of Engineering ,Dr.A.S.Shanthi,,355,349
7145,UNITED INSTITUTE OF TECHNOLOGY,Ms.Suganya M,,291,284
7150,SUGUNA COLLEGE OF ENGINEERING,Dr. Vasanth R ,,287,276
7153,Asian College of Engineering and Technology ,Dr.S.Aejitha,,541,541
7155,PSG Institute of Technology and Applied Research ,Dr P Chinnaraj ,,948,948
7203,Akshaya college of engineering and technology,Rajasekar C,,447,447
7204,CMS College of Engineeering and Technology,Hari Prasath V,,380,380
7205,EASA College of Engg and Technology,S.Subhash,,421,410
7209,JCT College of Engineering and Technology,Dr.M.Sabrigiriraj,,1110,1107
7210,Nehru Institute of Technology,Dr.S.Pathur Nisha,,474,473
7212,KARPAGAM INSTITUTE OF TECHNOLOGY,Manikandan S,,1012,998
7214,NEHRU INSTITUTE OF ENGINEERING AND TECHNOLOGY,R. KOUSIK KUMAAR ,,1191,1158
7218,RATHINAM TECHNICAL CAMPUS,Mr.S.ARULRAJ ,,824,800
7219,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,Dr.K.Baghirathi,,1554,1553
7236,"Pollachi institute of engineering and technology, pollachi",sureshkumar,,314,314
7237,V.S.B. COLLEGE OF ENGINEERING TECHNICAL CAMPUS,Mr. S. Hariharan,,791,791
7239,"Arjun College of Technology , Coimbatore ",Prof. P.Balaji,,449,449
7240,"DHAANISH AHMED INSTITUTE OF TECHNOLOGY,COIMBATORE",Mr Syed Althaf AP/BME,,438,438
6122,"Sengunthar College of Engineering, Tiruchengode ",MUHAMMADU SATHIK RAJA.M.S,,711,354
6130,VIVEKANANDHA COLLEGE OF TECHNOLOGY FOR WOMEN,Mr.S.Satheeshkumar,,760,760
7301,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,M.SAKTHISRINIVASAN,,66,66
7303,Builders Engineering College,S.Viswanathan,,674,674
7307,Excel college of Engineering and Technology ,Mr.P.Venkatasalam,,163,162
7311,Government College of Engineering  Erode,Dr K MURUGAN,,1028,1028
7312,JKK MUNIRAJAH COLLEGE OF TECHNOLOGY ,Dr.N.SATHYABALAJI ,,307,307
7313,J. K. K. NATARAJA COLLEGE OF ENGINEERING AND TECHNOLOGY ,SENTHIL. V,,338,338
7316,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,P MURUGESAN,,873,873
7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,D.Viswanathan,,344,269
7321,Nandha College of Technology,Mr.B. M. S. Javed Ahamed,,613,613
7323,S.S.M. COLLEGE OF ENGINEERING,A.RAJA,,710,710
7324,SASURIE COLLEGE OF ENGINEERING ,T. MANICKAM ,,94,94
7325,SHREE VENKATESHWARA HI-TECH ENGINEERING COLLEGE,K.S.Akilandeswari,,649,649
7327,Sri shanmugha college of engineering and technology ,M.Dhivyaa,,604,604
7328,Surya Engineering College ,G.A.Shyamala ,,506,505
7331,VIDYAA VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,Hindhuja. M,,186,186
7333,JAIRUPAA COLLEGE OF ENGINEERING,Sathyaprakash.R,,110,110
8106,DR.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING,Prof.M.Karunamoorthi,,98,98
8120,M.A.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr.G.Haridoss,,627,627
8121,M.A.M. SCHOOL OF ENGINEERING,P KAVITHA ,,565,563
8126,M.A.M College of Engineering,Pugazhenthi V,,850,850
8127,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,Dr R MANIVANNAN ,,523,523
8135,ROEVER ENGINEERING COLLEGE,Dr.M.TAMILSELVI,,700,698
8142,SHRI ANGALA AMMAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr.W.CHRIST RAJ PRINCIPAL,,54,0
8146,TRICHY ENGINEERING COLLEGE,Murugan V,,298,298
8147,SRM TRP ENGINEERING COLLEGE,Mr.S.Manimaran,,878,866
8148,"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",Dr.S.Senthil Kumar ,,310,310
8151,DHANALAKSHMI SRINIVASAN INSTITUTE OF TECHNOLOGY,SOUNDARYA K,,443,443
8154,SRI RAMAKRISHNA COLLEGE OF ENGINEERING,Mrs.N.AKILA AP/BME,,330,330
8155,SURYA COLLEGE OF ENGINEERING,J.KAVITHA,,171,168
8156,ARIYALUR ENGINEERING COLLEGE ,V.Rajesh Kumar ,,565,565
8158,NELLIANDAVAR INSTITUTE OF TECHNOLOGY,R.Rajkumar,,562,562
8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,R.CHANDRU,,305,305
8203,A.V.C COLLEGE OF ENGINEERING,Dr. V. Tamilselvan,,807,805
8204,ANJALAI AMMAL MAHALINGAM ENGINEERING COLLEGE,Dr G . NANTHAKUMAR,,1063,1060
8205,ANNAI COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr.R.Raja,,952,952
8206,ARASU ENGINEERING COLLEGE,Mohammed Haris,,808,808
8207,AS-SALAM COLLEGE OF ENGINEERING & TECHNOLOGY,N.LATHA,,241,239
8210,K.S.K COLLEGE OF ENGINEERING AND TECHNOLOGY ,AYESHWARIYA K,,606,601
8211,Kings College of Engineering ,Dr.T.Pushparaj ,,648,648
8212,P.R.ENGINEERING COLLEGE ,J.RAJESH ,,96,96
8213,Parisutham Institute of Technology and Science ,RAJA S,,202,202
8216,Sembodai Rukmani varatharajan engineering college,Anbazhagan L,,33,33
8217,Sir Issac Newton College of Engineering and Technology,ARUNKUMAR P,,700,691
8219,"St.Joseph's College of Engineering and Technology , Thanjavur ",Sathis Kumar P ,,350,350
8220,Star Lion College of Engineering and Technology,K.PRADEEP,,331,331
8221,University College of Engineering Pattukkottai,Dr. G. Karthikeyan,,483,483
8222,University College of Engineering Thirukkuvalai,Hariharan Ramachandran,,325,315
8223,VANDAYAR ENGINEERING COLLEGE,SARAVANAN KUMAR M,,279,179
8226,ARIFA INSTITUTE OF TECHNOLOGY,KARTHICK.A,,232,231
8227,"GOVERNMENT COLLEGE OF ENGINEERING, THANJAVUR",Dr.S.Jayabal,,830,830
8100,"University College of Engineering, BIT Campus, Trichy",Dr.P.Navaneetha Krishnan,,2627,2627
8107,CARE College of Engineering,V.Gomathy,,323,323
8110,IMAYAM COLLEGE OF ENGINEERING,R.BASKARAN,,180,180
8112,INDRA GANESAN COLLEGE OF ENGINEERING,Dr N Kavitha,,398,370
8113,J.J.College Of Engineering and Technology,Dr.C.Chandravathi,,526,526
8114,JAYARAM COLLEGE OF ENGINEERING AND TECHNOLOGY,SENTHILKUMAR S,,295,293
8118,KURINJI COLLEGE OF ENGINEERING AND TECHNOLOGY,Mr.D.Yobu,,94,94
8124,M.I.E.T. ENGINEERING COLLEGE,D. Tamil Selvan,,970,959
8125,MAHALAKSHMI ENGINEERING COLLEGE,Dr.N.Saravanan,,222,222
8128,MOOKAMBIGAI COLLEGE OF ENGINEERING,G. Manickavasaham,,750,750
8129,"OASYS Institute of Technology, Trichy",Mr.K.Gobi,,267,267
8130,OXFORD ENGINEERING COLLEGE,DHEEPA KUMAR K,,582,582
8138,SARANATHAN COLLEGE OF ENGINEERING,Dr K. RAJKUMAR ,,1702,1701
8144,"Sudharsan Engineering College,Pudukkottai",Dr.Viswanath Bellie,,259,259
8301,Government College of Engineering Srirangam ,RAJAVELU M,,784,781
9104,Fatima Michael College of engineering and technology ,Ravikumaran P,,284,282
9105,GANAPATHY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY,R. Parthasarathi ,,121,0
9108,KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT,S.ULAGANATHAN,,142,142
9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,A.ANTONY CRUZ,,437,430
9114,MNSK ENGINEERING COLLEGE ,R.Kumar,,111,109
9115,MOHAMED SATHAK ENGINEERING COLLEGE,DR.M.VIJAYARAJ,,640,639
9116,MOTHER TERASA COLLEGE OF ENGINEERING AND TECHNOLOGY,Mr. P. RAJKUMAR ,,290,191
9117,MOUNT ZION COLLEGE OF ENGINEERING AND TECHNOLOGY,Elavarasi D ,,812,812
9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,S. RAJAMUNEESWARAN,,362,361
9124,SHANMUGANATHAN ENGINEERING COLLEGE,R.Divyasopna,,343,343
9125,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,SUSIL KUMAR R,,459,459
9126,Sri Bharathi Engineering College for Women,B.Priya,,144,143
9127,ST.MICHAEL COLLEGE OF ENGINEERING & TECHNOLOGY,Prof. A. Thamarai Muthumani,,288,287
9128,Syed Ammal Engineering College,P Nedumal Pugazhenthi,,458,458
9130,University College of Engineering Ramanathapuram,Dr.A.Muthumari,,270,270
9201,BHARATH NIKETAN ENGINEERING COLLEGE,Yogadinesh.S,,369,369
9202,CHETTINAD COLLEGE OF ENGINEERING AND TECHNOLOGY,Sabarinathan A,,456,455
9203,CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr. W. R. SALEM JEYASEELAN ,,611,611
9208,N P R COLLEGE OF ENGINEERING AND TECHNOLOGY,C.VIJAYAKUMAR,,607,606
9209,N.S.N. College of Engineering and Technology ,Arun Rajha V ,,416,415
9210,Nadar Saraswathi College of Engineering and Technology,A.Vembathurajesh,,506,506
9212,VEERAMMAL ENGINEERING COLLEGE,S Padmanaban,,15,15
9213,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr.R.Bhaskaran ,,3224,3224
9214,RVS EDUCATIONAL TRUSTS GROUP OF INSTITUTIONS,Mr. SELVAM C,,379,373
9215,R.V.S. College of Engineering,K.Sivaraman,,322,322
9216,SBM COLLEGE OF ENGINEERING AND TECHNOLOGY,P.JOTHIBASU,,879,879
9221,SSM INSTITUTE OF ENGINEERING AND TECHNOLOGY,K.S.ARUN KUMAR,,830,830
9222,Theni Kammavar Sangam College of Technology,Mr.J.Mathavaraja,,391,391
9223,"UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL",Rameshpandian R,,458,458
9225,"V.S.B. ENGINEERING COLLEGE, KARUR",Mr.K.MANIVANNAN,,2518,2516
9230,"Arulmurugan College Of Engineering, Karur",Mrs. S. Yuvarani,,125,124
9231,CHERAN COLLEGE OF ENGINEERING,,,39,0
9233,GOVERNMENT COLLEGE OF ENGINEERING,Sureshkumar P,,762,762
9100,Anna University Regional Campus Madurai ,Dr.Rajkumar.S.C,,674,673
9110,LATHA MATHAVAN ENGINEERING COLLEGE,SENTHIL KUMARAN S,,323,323
9111,MADURAI INSTITUTE OF ENGINEERING AND TECHNOLOGY,,,176,0
9119,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,S.VIJAYALAKSHMI,,87,80
9122,Solamalai College of Engineering,K. Alagarpandi,,308,308
9123,SACS M.A.V.M.M ENGINEERING COLLEGE,SUNDARAVADIVEL P,,493,493
9129,ULTRA College of Engineering& Technology,Dr. R.Vinodha,,204,204
9131,VELAMMAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Senthilrani.S ,,1404,1404
9133,Vaigai College of Engineering,Dr.M.K.V.Karthikeyan,,524,520
9218,Sree Sowdambika College of Engineering Aruppukottai ,Dr.R.SIVASANGARI,,349,346
9220,Sri Vidya college of engineering and technology ,J.Bala murugan ,,159,159
9238,MANGAYARKARASI COLLEGE OF ENGINEERING,DR.J.SIVASANKARI,,746,746
9536,RAMCO INSTITUTE OF TECHNOLOGY,Mr. R Arun Kumar,,963,963
9537,AAA College of Engineering and Technology,Dr. Jeen Robert R B,,631,626
9506,EINSTEIN COLLEGE OF ENGINEERING,ARUN SINGH.S,,571,571
9508,Government College of Engineering,Dr.M.Vijayaraj,,1229,1228
9512,J P COLLEGE OF ENGINEERING,P. RAJVEL NAGARAJAN,,657,655
9516,MAHAKAVI BHARATHIYAR COLLEGE OF ENGINEERING AND TECHNOLOGY,M. Mayilsamy,,84,83
9523,PSN ENGINEERING COLLEGE,S.PITCHAIAH,,421,132
9524,PSN INSTITUTE OF TECHNOLOGY AND SCIENCE ,SANTHOSH KUMAR ,,439,439
9525,Renganayagi Varatharaj college of engineering ,Ramya R,,230,229
9526,S.VEERASAMY CHETTIAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Gomathisankar M,,213,211
9527,Sardar Raja College of Engineering,Prof.S.Malathi,,166,165
9528,SCAD College of Engineering and Technology ,X.Arogya Presskila ,,672,670
9531,THAMIRABHARANI ENGINEERING COLLEGE,Arunachalam V,,524,524
9533,Unnamalai Institute of Technology,Ms.G.Sujitha,,114,114
9601,"ANNAI VAILANKANNI COLLEGE OF ENGINEERING, KANYAKUMARI ","Dr. T. MANVEL RAJ, PRINCIPAL",,413,412
9602,ARUNACHALA COLLEGE OF ENGINEERING FOR WOMEN,Dr.T.Sunitha ,,974,973
9603,BETHLAHEM INSTITUTE OF ENGINEERING,Roshan Xavier,,468,392
9604,C.S.I. INSTITUTE OF TECHNOLOGY,Ben samuel.J,,223,223
9611,LORD JEGANNATH COLLEGE OF ENGINEERING AND TECHNOLOGY,Dr. K. Shanmuga priya ,,183,183
9612,Loyola Institute of Technology and Science ,Dr P Maria Jesi,,799,798
9614,MAR EPHRAEM COLLEGE OF ENGINEERING AND TECHNOLOGY,Jackson Thanga Roy I ,,780,780
9615,MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY,Mr.Biju A,,340,338
