id,branch,student count
3020,MECHANICAL ENGINEERING (PART TIME),469
3030,ELECTRICAL AND ELECTRONICS ENGINEERING (PART TIME),693
3040,ELECTRONICS AND COMMUNICATION ENGINEERING (PART TIME),11
3045,ELECTRONICS (WSI) (PARTTIME),0
3072,PETROLEUM ENGINEERING (PARTTIME),0
3075,PETROCHEMICAL ENGINEERING (PART TIME),0
3202,PRINTING TECHNOLOGY,0
4010,CIVIL ENGINEERING (PRIVATE),0
4020,MECHANICAL ENGINEERING (PRIVATE),0
4030,ELECTRICAL AND ELECTRONICS ENGINEERING (PRIVATE),0
4060,TEXTILE TECH  (MAN MADE FIBRE TECH),0
5101,POST DIPLOMA IN COMPUTER APPLICATIONS,3
5102,POST DIPLOMA IN KNITTING AND GARMENT TECHNOLOGY,0
5103,POST DIPLOMA IN PETRO CHEMICAL TECHNOLOGY,0
5104,POST DIPLOMA IN MEDICAL EQUIPMENT TECHNOLOGY,0
5105,POST DIPLOMA IN AUTOMOBILE ENGINEERING,0
5106,POST DIPLOMA IN WELDING TECHNOLOGY,0
5107,POST DIPLOMA IN CONSTRUCTION TECHNOLOGY,0
5108,POST DIPLOMA IN DIE AND TOOL DESIGN,0
5109,POST DIPLOMA IN AUTOMOBILE ENGINEERING,0
5110,POST DIPLOMA IN TOOL DESIGN,0
5111,POST DIPLOMA IN ADVANCED TOOL AND DIE DESIGN,0
5112,POST DIPLOMA IN TELEVISION ENGINEERING,0
5113,POST DIPLOMA IN QUANTITY SURVEYING,0
5114,POST DIPLOMA IN TEXTILE WET PROCESSING,0
5115,POST DIPLOMA IN TOWN AND COUNTRY PLANNING,0
5119,POST DIPLOMA IN METALLURGY,0
5201,POST DIPLOMA IN REFRIGERATION AND AIR CONDITIONING,0
5202,P D IN ADVANCED TECHNOLOGICAL COURSE IN R & A/C (SWC),0
5203,POST DIPLOMA IN COMPUTER AIDED TEXTILE MANUFACTURE,0
5204,P D IN KNITTING AND GARMENT MANUFACTURING TECHNOLOGY,0
5205,POST DIPLOMA IN TOOL AND DIE MAKING,0
5206,POST DIPLOMA IN INDUSTRIAL ENGINEERING,0
5207,POST DIPLOMA IN FASHION TECHNOLOGY,0
5301,POST DIPLOMA IN REFRIGERATION AND AIR CONDITIONING (PART TIME),0
5310,POST DIPLOMA IN METALLURGY (PART TIME),0
5311,POST DIPLOMA IN TOOL DESIGN (PART TIME),0
5314,POST DIPLOMA IN QUANTITY SURVEYING (PART TIME),0
6102,CERTIFICATE IN BAKERY AND CONFECTIONERY,0
6103,CERTIFICATE IN FRONT OFFICE BOOK KEEPING AND HOUSE KEEPING,0
6104,CERTIFICATE IN FOOD AND BEVERAGE SERVICE,0
6105,CERTIFICATE IN FOOD PRODUCTION,0
6106,CERTIFICATE IN HOUSE KEEPING,0
6107,CERTIFICATE IN SOCIAL WORK,0
6108,CERTIFICATE IN LITHOGRAPHIC ART WORK,0
6109,CERTIFICATE IN COOKERY,0
6110,CERTIFICATE IN KNITTING AND EMBROIDERY,0
6111,CERTIFICATE IN ACTING,0
6112,CERTIFICATE IN CAMERA AND SCANNER OPERATION,0
6113,CERTIFICATE IN TYPE SETTING AND DESK TOP PUBLISHING,0
6114,CERTIFICATE IN OFFSET MACHINE PRINTING,0
6115,CERTIFICATE IN TEXTILE WEAVING,0
6116,ARTISIAN COURSE IN TANNERY OPERATORS,0
6117,ELECTRICAL SUPERVISOR'S COMPETENCY CERTIFICATE COURSE,0
6118,CERTIFICATE IN PRE-PRESS WORK,0
6119,CERTIFICATE IN PRINTING TECHNOLOGY,0
