code,roll_no
('1105', '110518105308')
('1105', '110518106002')
('1105', '110518106003')
('1105', '110518106004')
('1105', '110518106007')
('1105', '110518106008')
('1105', '110518106009')
('1105', '110518106011')
('1105', '110518106013')
('1105', '110518106014')
('1105', '110518106015')
('1105', '110518106016')
('1105', '110518106018')
('1105', '110518106019')
('1105', '110518106020')
('1105', '110518106021')
('1105', '110518106022')
('1105', '110518106024')
('1105', '110518106025')
('1105', '110518106027')
('1105', '110518106028')
('1105', '110518106030')
('1105', '110518106302')
('1105', '110518106702')
('1105', '110518106702')
('1105', '110518106703')
('1105', '110518106703')
('1105', '110518106704')
('1105', '110518106704')
('1105', '110518106705')
('1105', '110518106705')
('1105', '110518114001')
('1105', '110518114002')
('1105', '110518114003')
('1105', '110518114004')
('1105', '110518114006')
('1105', '110518114009')
('1105', '110518114010')
('1105', '110518114011')
('1105', '110518114012')
('1105', '110518114014')
('1105', '110518114016')
('1105', '110518114017')
('1105', '110518114018')
('1105', '110518114019')
('1105', '110518114020')
('1105', '110518114021')
('1105', '110518114022')
('1105', '110518114023')
('1105', '110518114024')
('1105', '110518114025')
('1105', '110518114026')
('1105', '110518114027')
('1105', '110518114030')
('1105', '110518114031')
('1105', '110518114034')
('1105', '110518114035')
('1105', '110518114036')
('1105', '110518114037')
('1105', '110518114038')
('1105', '110518114039')
('1105', '110518114302')
('1105', '110518114303')
('1105', '110518114306')
('1105', '110518114307')
('1105', '110518114309')
('1105', '110518114310')
('1105', '110518114313')
('1105', '110518114314')
('1105', '110518114320')
('1105', '110518114321')
('1105', '110518114322')
('1105', '110518114323')
('1105', '110518114329')
('1105', '110518114330')
('1105', '110518114332')
('1105', '110518114333')
('1105', '110518114336')
('1105', '110518114337')
('1105', '110518114338')
('1105', '110518205001')
('1105', '110518205002')
('1105', '110518205005')
('1105', '110518205006')
('1105', '110518205009')
('1105', '110518205010')
('1105', '110518205011')
('1105', '110518205012')
('1105', '110518205013')
('1105', '110518205014')
('1105', '110518205016')
('1105', '110518205018')
('1105', '110520402001')
('1105', '110520405001')
('1105', '110520405002')
('1105', '110520405003')
('1105', '110520405004')
('1105', '110520408001')
('1105', '110520408002')
('1105', '110520415001')
('1105', '110520419001')
('1105', '110520419002')
('1105', '110520419003')
('1105', '110521631001')
('1105', '110521631002')
('1105', '110521631003')
('1105', '110521631004')
('1105', '110521631005')
('1105', '110521631006')
('1105', '110521631007')
('1105', '110521631008')
('1105', '110521631009')
('1105', '110521631010')
('1105', '110521631011')
('1105', '110521631012')
('1105', '110521631013')
('1105', '110521631014')
('1105', '110521631015')
('1105', '110521631016')
('1105', '110521631017')
('1105', '110521631018')
('1105', '110521631019')
('1105', '110521631020')
('1105', '110521631021')
('1105', '110521631022')
('1105', '110521631023')
('1105', '110521631024')
('1105', '110521631025')
('1105', '110521631026')
('1105', '110521631027')
('1105', '110521631029')
('1105', '110521631030')
('1105', '110521631031')
('1105', '110521631032')
('1105', '110521631033')
('1105', '110521631034')
('1105', '110521631035')
('1105', '110521631036')
('1105', '110521631037')
('1105', '110521631038')
('1105', '110521631039')
('1105', '110521631040')
('1105', '110521631041')
('1105', '110521631042')
('1105', '110521631043')
('1105', '110521631044')
('1105', '110521631045')
('1105', '110521631046')
('1105', '110521631047')
('1105', '110521631048')
('1105', '110521631049')
('1105', '110521631050')
('1105', '110521631051')
('1105', '110521631052')
('1105', '110521631053')
('1105', '110521631054')
('1105', '110521631055')
('1105', '110521631056')
('1105', '110521631057')
('1105', '110521631058')
('1105', '110520631001')
('1105', '110520631002')
('1105', '110520631003')
('1105', '110520631004')
('1105', '110520631005')
('1105', '110520631006')
('1105', '110520631008')
('1105', '110520631009')
('1105', '110520631010')
('1105', '110520631011')
('1105', '110520631012')
('1105', '110520631013')
('1105', '110520631015')
('1105', '110520631016')
('1105', '110520631017')
('1105', '110520631018')
('1105', '110520631019')
('1105', '110520631020')
('1105', '110520631021')
('1105', '110520631022')
('1105', '110520631023')
('1105', '110520631024')
('1105', '110520631025')
('1105', '110520631027')
('1105', '110520631028')
('1105', '110520631029')
('1105', '110520631031')
('1105', '110520631033')
('1105', '110520631034')
('1105', '110520631035')
('1105', '110520631036')
('1105', '110520631037')
('1105', '110520631038')
('1105', '110520631039')
('1105', '110520631040')
('1105', '110520631041')
('1105', '110520631042')
('1105', '110520631043')
('1105', '110520631044')
('1105', '110520631045')
('1105', '110520631046')
('1106', '110618104001')
('1106', '110618104002')
('1106', '110618104003')
('1106', '110618104004')
('1106', '110618104005')
('1106', '110618104006')
('1106', '110618104007')
('1106', '110618104008')
('1106', '110618104009')
('1106', '110618104010')
('1106', '110618104011')
('1106', '110618104012')
('1106', '110618104015')
('1106', '110618104016')
('1106', '110618104017')
('1106', '110618104018')
('1106', '110618104019')
('1106', '110618104020')
('1106', '110618104021')
('1106', '110618104022')
('1106', '110618104023')
('1106', '110618104024')
('1106', '110618105001')
('1106', '110618105002')
('1106', '110618105003')
('1106', '110618105005')
('1106', '110618105006')
('1106', '110618105007')
('1106', '110618105008')
('1106', '110618105009')
('1106', '110618105010')
('1106', '110618105011')
('1106', '110618105012')
('1106', '110618105013')
('1106', '110618105015')
('1106', '110618106002')
('1106', '110618106006')
('1106', '110618106007')
('1106', '110618106008')
('1106', '110618106009')
('1106', '110618106010')
('1106', '110618106011')
('1106', '110618106012')
('1106', '110618106013')
('1106', '110618106014')
('1106', '110618106301')
('1106', '110618114001')
('1106', '110618114002')
('1106', '110618114003')
('1106', '110618114006')
('1106', '110618114007')
('1106', '110618114008')
('1106', '110618114009')
('1106', '110618114010')
('1106', '110618114011')
('1106', '110618114013')
('1106', '110618114015')
('1106', '110618114016')
('1106', '110618114901')
('1106', '110618139001')
('1106', '110618139002')
('1106', '110618139003')
('1106', '110618139004')
('1106', '110618139005')
('1106', '110618139006')
('1106', '110618139007')
('1106', '110618139008')
('1106', '110618139009')
('1106', '110618205002')
('1106', '110618205003')
('1106', '110618205004')
('1106', '110618205005')
('1106', '110618205006')
('1106', '110618205007')
('1106', '110618205008')
('1106', '110618205009')
('1106', '110621402001')
('1106', '110621402002')
('1106', '110621402003')
('1106', '110621402004')
('1106', '110621405001')
('1106', '110621405002')
('1106', '110621405003')
('1106', '110621405004')
('1106', '110621405005')
('1106', '110621405006')
('1106', '110621405007')
('1106', '110621405008')
('1106', '110621405009')
('1106', '110620405001')
('1106', '110620405002')
('1106', '110620405003')
('1106', '110621411001')
('1106', '110621411002')
('1106', '110621411003')
('1106', '110621411004')
('1106', '110621411005')
('1106', '110621411006')
('1106', '110621411007')
('1106', '110621411008')
('1106', '110621411009')
('1106', '110621411010')
('1106', '110620411001')
('1106', '110620411002')
('1106', '110620411003')
('1106', '110620411004')
('1106', '110620411005')
('1106', '110620411006')
('1106', '110620411007')
('1106', '110621631001')
('1106', '110621631002')
('1106', '110621631003')
('1106', '110621631004')
('1106', '110621631005')
('1106', '110621631006')
('1106', '110621631007')
('1106', '110621631008')
('1106', '110621631009')
('1106', '110621631010')
('1106', '110621631011')
('1106', '110621631012')
('1106', '110621631013')
('1106', '110621631014')
('1106', '110621631015')
('1106', '110621631016')
('1106', '110621631017')
('1106', '110621631018')
('1106', '110621631019')
('1106', '110621631020')
('1106', '110621631021')
('1106', '110621631022')
('1106', '110621631023')
('1106', '110621631024')
('1106', '110621631025')
('1106', '110621631026')
('1106', '110621631027')
('1106', '110621631029')
('1106', '110621631030')
('1106', '110621631031')
('1106', '110621631032')
('1106', '110621631033')
('1106', '110621631034')
('1106', '110621631035')
('1106', '110621631036')
('1106', '110621631037')
('1106', '110621631038')
('1106', '110621631039')
('1106', '110621631040')
('1106', '110621631041')
('1106', '110621631042')
('1106', '110621631043')
('1106', '110621631044')
('1106', '110621631045')
('1106', '110621631046')
('1106', '110621631047')
('1106', '110621631048')
('1106', '110621631049')
('1106', '110621631050')
('1106', '110621631051')
('1106', '110621631052')
('1106', '110621631053')
('1106', '110621631054')
('1106', '110621631055')
('1106', '110621631056')
('1106', '110621631057')
('1106', '110621631058')
('1106', '110621631059')
('1106', '110621631060')
('1106', '110621631061')
('1106', '110621631062')
('1106', '110621631063')
('1106', '110621631064')
('1106', '110621631065')
('1106', '110621631066')
('1106', '110621631067')
('1106', '110621631068')
('1106', '110621631069')
('1106', '110621631070')
('1106', '110621631071')
('1106', '110621631072')
('1106', '110621631073')
('1106', '110621631074')
('1106', '110621631075')
('1106', '110621631076')
('1106', '110621631077')
('1106', '110621631078')
('1106', '110621631079')
('1106', '110621631080')
('1106', '110621631081')
('1106', '110621631082')
('1106', '110621631083')
('1106', '110621631084')
('1106', '110621631085')
('1106', '110621631086')
('1106', '110621631087')
('1106', '110621631088')
('1106', '110621631089')
('1106', '110621631090')
('1106', '110621631091')
('1106', '110621631092')
('1106', '110621631093')
('1106', '110621631094')
('1106', '110621631095')
('1106', '110621631096')
('1106', '110621631097')
('1106', '110621631098')
('1106', '110621631099')
('1106', '110621631100')
('1106', '110621631101')
('1106', '110621631102')
('1106', '110621631103')
('1106', '110621631104')
('1106', '110621631105')
('1106', '110621631106')
('1106', '110621631107')
('1106', '110621631108')
('1106', '110621631109')
('1106', '110621631110')
('1106', '110621631111')
('1106', '110621631112')
('1106', '110621631113')
('1106', '110621631114')
('1106', '110621631115')
('1106', '110621631116')
('1106', '110621631117')
('1106', '110621631118')
('1106', '110621631119')
('1106', '110621631120')
('1106', '110620631001')
('1106', '110620631003')
('1106', '110620631004')
('1106', '110620631005')
('1106', '110620631006')
('1106', '110620631007')
('1106', '110620631008')
('1106', '110620631009')
('1106', '110620631010')
('1106', '110620631011')
('1106', '110620631012')
('1106', '110620631013')
('1106', '110620631014')
('1106', '110620631015')
('1106', '110620631017')
('1106', '110620631018')
('1106', '110620631019')
('1106', '110620631020')
('1106', '110620631021')
('1106', '110620631022')
('1106', '110620631023')
('1106', '110620631024')
('1106', '110620631025')
('1106', '110620631026')
('1106', '110620631027')
('1106', '110620631028')
('1106', '110620631029')
('1106', '110620631030')
('1106', '110620631031')
('1106', '110620631032')
('1106', '110620631033')
('1106', '110620631035')
('1106', '110620631036')
('1106', '110620631037')
('1106', '110620631038')
('1106', '110620631039')
('1106', '110620631040')
('1106', '110620631041')
('1106', '110620631042')
('1106', '110620631043')
('1106', '110620631044')
('1106', '110620631045')
('1106', '110620631046')
('1106', '110620631047')
('1106', '110620631048')
('1106', '110620631049')
('1106', '110620631050')
('1106', '110620631051')
('1106', '110620631052')
('1106', '110620631053')
('1106', '110620631054')
('1106', '110620631055')
('1106', '110620631056')
('1106', '110620631057')
('1106', '110620631058')
('1106', '110620631060')
('1106', '110620631061')
('1106', '110620631062')
('1106', '110620631064')
('1106', '110620631065')
('1106', '110620631066')
('1106', '110620631067')
('1106', '110620631068')
('1106', '110620631069')
('1106', '110620631070')
('1106', '110620631071')
('1106', '110620631072')
('1106', '110620631073')
('1106', '110620631074')
('1106', '110620631075')
('1106', '110620631076')
('1106', '110620631077')
('1106', '110620631078')
('1106', '110620631079')
('1106', '110620631081')
('1106', '110620631082')
('1106', '110620631083')
('1106', '110620631084')
('1106', '110620631085')
('1106', '110620631086')
('1106', '110620631087')
('1106', '110620631088')
('1106', '110620631089')
('1106', '110620631090')
('1106', '110620631091')
('1106', '110620631092')
('1106', '110620631094')
('1106', '110620631095')
('1106', '110620631096')
('1106', '110620631097')
