id,college,college_code,student count,verified student count,unverified student count
1510,S R I POLYTECHNIC COLLEGE,547,74,74,0
1507,S M ARUMUGAM POLYTECHNIC COLLEGE,544,136,0,136
1498,SRI KRISHNA POLYTECHNIC COLLEGE,532,163,140,23
1492,MURUGESAN INSTITUTE OF TECHNOLOGY,522,179,0,179
1493,SRI RAGAVENDRA POLYTECHNIC COLLEGE,523,264,0,264
1494,K S R POLYTECHNIC COLLEGE,525,279,0,279
839,HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,7207,3768,3766,2
1506,LAKSHMI NARAYANA POLYTECHNIC COLLEGE,542,349,346,3
1500,PADALESWARAR POLYTECHNIC COLLEGE,534,103,0,103
1503,ANNDAVAR POLYTECHNIC COLLEGE,539,74,0,74
1509,THE KAVERY POLYTECHNIC COLLEGE,546,616,0,616
1504,LITTLE FLOWER POLYTECHNIC COLLEGE,540,107,107,0
1490,SRI MUTHALAMMAN POLYTECHNIC COLLEGE,520,87,0,87
1499,PAAVAI POLYTECHNIC COLLEGE,533,275,0,275
1508,VIVEKANANDA POLYTECHNIC COLLEGE,545,568,0,567
1526,SRI ADHISANKARAR POLYTECHNIC COLLEGE,564,365,0,365
1514,DHANALAKSHMI SRINIVASAN POLYTECHNIC COLLEGE,551,658,0,657
668,KINGSTON ENGINEERING COLLEGE,5113,599,599,0
1135,Loyola Institute of Technology and Science ,9612,799,798,0
1534,APOLLO POLYTECHNIC COLLEGE,572,277,0,277
1512,P G P POLYTECHNIC COLLEGE,549,75,0,75
1520,D P C POLYTECHNIC COLLEGE,558,229,0,229
1515,BHARATH POLYTECHNIC COLLEGE,552,90,0,90
1537,P A POLYTECHNIC COLLEGE,576,362,0,362
1516,SRI VENKATACHALAPATHY POLYTECHNIC COLLEGE,553,226,0,226
1518,MURUGA POLYTECHNIC COLLEGE,555,377,0,377
1519,THIRUTHANI POLYTECHNIC COLLEGE,556,186,0,186
1532,PONNAIYAH RAMAJAYAM POLYTECHNIC COLLEGE,570,158,158,0
1497,K A R POLYTECHNIC COLLEGE,529,179,0,179
1530,UDAYA POLYTECHNIC COLLEGE,568,182,0,182
1431,ST XAVIERS POLYTECHNIC COLLEGE,355,157,0,157
492,JAYA SAKTHI ENGINEERING COLLEGE,1120,183,183,0
1528,PASTOR LENSSEN POLYTECHNIC COLLEGE,566,109,0,109
1511,ARIES POLYTECHNIC COLLEGE,548,254,0,254
1521,P V POLYTECHNIC COLLEGE,559,166,0,166
1517,CHEYYAR POLYTECHNIC COLLEGE,554,149,0,149
1536,MAHENDRA POLYTECHNIC COLLEGE,574,319,0,319
1533,VANDAYAR POLYTECHNIC COLLEGE,571,298,0,298
1547,A R J POLYTECHNIC COLLEGE,587,173,173,0
1535,CHANDY POLYTECHNIC COLLEGE,573,168,114,54
1546,PONNAIYAH RAMAJAYAM POLYTECHNIC COLLEGE,586,60,0,60
1540,SURYA POLYTECHNIC COLLEGE,579,190,0,190
1543,MOTHER TERASA POLYTECHNIC COLLEGE,582,225,0,225
1544,SAKTHI INSTITUTE OF FASHION TECHNOLOGY,583,28,0,28
1554,P S R POLYTECHNIC COLLEGE,594,321,0,321
1559,BHARATH INST OF CATRNG TECNLGY & HOTEL MNGT,618,34,0,34
1545,SUDHARSAN POLYTECHNIC COLLEGE,584,116,0,116
1550,THE KONGU POLYTECHNIC COLLEGE,590,457,416,41
1538,R V S POLYTECHNIC COLLEGE,577,272,272,0
1557,THE KAAVERY INSTITUTE OF TECHNOLOGY,598,340,0,340
1551,KONGHU VELALAR POLYTECHINIC COLLEGE,591,769,0,769
1541,F X POLYTECHNIC COLLEGE,580,324,324,0
1549,CHENDHURAN POLYTECHNIC COLLEGE,589,410,0,410
1553,NAGA SIVA POLYTECHNIC COLLEGE,593,305,0,305
1558,MAHARANI POLYTECHNIC COLLEGE,599,128,0,128
1556,SRINIVASAN POLYTECHNIC COLLEGE,597,48,0,48
1548,ARULMURUGAN POLYTECHNIC COLLEGE,588,278,0,278
1561,AAROORAN POLYTECHNIC COLLEGE,702,284,0,284
1562,ELUMALAIYAN POLYTECHNIC COLLEGE,703,235,4,231
1565,MASS POLYTECHNIC COLLEGE,706,190,0,190
1563,MAISURII  POLYTECHNIC COLLEGE,704,133,0,133
1282,Sri Ramakrishna Engineering College,2719,4066,4066,0
1569,SRI BHARATHI VELU POLYTECHNIC COLLEGE,712,293,0,293
1579,UDHAYAM POLYTECHNIC COLLEGE,722,93,80,13
1095,INFANT JESUS COLLEGE OF ENGINEERING AND TECHNOLOGY,9511,0,0,0
1573,N P R POLYTECHNIC COLLEGE.,716,136,0,136
1574,SRI VENKATESHWARAA POLYTECHNIC COLLEGE,717,132,0,132
1575,THE SURABI COLLEGE OF POLYTECHNIC,718,18,0,18
1576,NATIONAL INSTITUTE OF POLYTECHNIC,719,392,0,392
1577,P S N POLYTECHNIC COLLEGE,720,442,0,442
1590,KOTTAI MARIAMMAN POLYTECHNIC COLLEGE,734,144,0,144
1585,BHAVANI POLYTECHNIC COLLEGE,728,115,0,115
1578,ROYAL POLYTECHNIC COLLEGE,721,55,0,55
1093,Holycross Engineering college ,9509,201,199,0
1583,P S N INSTITUTE OF TECHNOLOGY,726,130,0,130
1584,SRI RAJIV GANDHI POLYTECHNIC COLLEGE,727,14,0,14
1592,SHREE  MARUTHI POLYTECHNIC COLLEGE,736,137,92,45
1587,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,730,201,0,201
1588,GANDHI POLYTECHNIC COLLEGE,732,217,0,217
1595,VOICE OF GOD POLYECHNIC COLLEGE,739,165,137,28
1580,CAPE POLYTECHNIC COLLEGE,723,170,0,170
1589,SALEM KONGU POLYTECHNIC COLLEGE,733,33,0,33
1593,PAAVENDHAR POLYTECHNIC COLLEGE,737,269,0,269
1596,SRI BALAKRISHNA POLYTECHNIC COLLEGE,740,76,0,76
1115,"UNIVERSITY COLLEGE OF ENGINEERING, THOOTHUKUDI",9532,516,516,0
1599,GUDIYATTAM POLYTECHNIC COLLEGE,743,230,0,230
1601,RAJALAKSHMI POLYTECHNIC COLLEGE,745,304,0,304
1619,SIR ISSAC NEWTON POLYTECHNIC COLLEGE,765,764,664,100
1600,SRI RAMACHANDRA POLYTECHNIC COLLEGE,744,305,0,305
1097,Jayaraj Annapackiam CSI College of Engineering,9513,606,605,0
1088,Dr.G.U.Pope College of Engineering,9504,287,287,0
1605,AYYAPPA POLYTECHNIC COLLEGE,750,357,0,357
1606,SASTHA POLYTECHNIC COLLEGE,752,58,0,58
1607,MAHATH AMMA POLYTECHNIC COLLEGE,753,302,0,302
1620,HAJI SHEIK ISMAIL POLYTECHNIC COLLEGE,766,222,0,222
1609,SRI BHARATHI POLYTECHNIC COLLEGE FOR WOMEN,755,57,0,57
1616,N V POLYTECHNIC COLLEGE,762,288,288,0
1612,ANNAI COLLEGE OF POLYTECHNIC COLLEGE,758,766,0,766
1614,SRI BALAMURUGAN POLYTECHNIC COLLEGE,760,71,0,71
1615,JAYAM POLYTECHNIC COLLEGE,761,213,0,213
1608,ST. JOSEPH POLYTECHNIC COLLEGE,754,93,0,93
1626,UNION CHRISTIAN POLYTECHNIC COLLEGE,775,313,0,313
1618,SRI RANGANATHAR INSTITUTE OF POLYTECHNIC COLLEGE,764,526,0,526
1623,ST. MICHEAL POLYTECHNIC COLLEGE,769,113,0,113
1621,DON BOSCO POLYTECHNIC COLLEGE,767,305,0,305
1617,THIRUVALLUVAR POLYTECHNIC COLLEGE,763,160,160,0
1624,PET POLYTECHNIC COLLEGE,772,382,0,382
1625,UDAYA INSTITUTE OF TECHNOLOGY,774,263,0,263
1598,CHOLAN INSTITUTE OF TECHNOLOGY,742,16,0,16
1635,GURU RAAGAVINDRA POLYTECHNIC COLLEGE,785,255,253,2
1628,VICKRAM POLYTECHNIC COLLEGE,777,70,0,70
1638,K.K.S. MANI POLYTECHNIC COLLEGE,789,102,93,9
1627,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,776,371,0,371
1630,S.VEERASAMY CHETTIAR POLYTECHNIC COLLEGE,780,146,0,146
1650,SRI SANTHOSHI POLYTECHNIC COLLEGE,804,178,0,178
1654,SRI SAKTHI POLYTECHNIC COLLEGE,809,246,0,246
1634,S.V.S POLYTECHNIC COLLEGE,784,165,0,165
1632,S S K POLYTECHNIC COLLEGE,782,97,84,13
1637,MIT POLYTECHNIC COLLEGE,788,149,0,149
1633,SRI KARPAGA POLYTECHNIC COLLEGE,783,73,0,73
1644,SRI PADMAM POLYTECHNIC COLLEGE,797,78,0,78
1653,THIRUMALAI-MADHANUR POLYTECHNIC COLLEGE,808,91,0,91
1646,SRI VIGNESH POLYTECHNIC COLLEGE,799,303,0,303
1641,VIGNESHWARA POLYTECHNIC COLLEGE,794,309,97,212
1642,ST.MARIAM POLYTECHNIC COLLEGE,795,30,0,30
1643,SREE KUMARAGURU POLYTECHNIC COLLEGE,796,207,0,207
1631,C.M. ANNAMALAI POLYTECNIC COLLEGE,781,184,0,184
1636,MARUTAM NELLI POLYTECHNIC COLLEGE,786,260,0,260
1652,VETHATHIRI MAHARISHI INSTITUTE OF TECHNOLOGY,806,140,0,140
1647,SRI RAMANA INSTITUTE OF POLYTECHNIC COLLEGE,801,63,0,63
1645,SRI VINAYAGA POLYTECHNIC COLLEGE,798,233,60,173
1649,AISHWARYA POLYTECHNIC COLLEGE,803,112,0,112
1640,SRI S.RAMASAMY NAIDU MEMORIAL POLYTECHNIC COLLEGE,791,546,527,19
1655,ST. JOSEPH'S POLYTECHNIC COLLEGE,810,354,0,353
1656,SRI ANNAMALAI POLYTECHNIC COLLEGE,811,286,0,286
1678,VIDHYALAKSHMI POLYTECHNIC COLLEGE,838,134,127,7
1658,SREE ARUMUGHAM POLYTECHNIC COLLEGE,813,172,0,172
1679,KALA PANDIAN POLYTECHNIC COLLEGE,839,239,0,239
1660,NETHAJI SUBASH CHANDRA BOSE POLYTECHNIC COLLEGE,815,51,0,51
1671,G.P.POLYTECHNIC COLLEGE,827,76,0,76
1663,ACHARYA POLYTECHNIC COLLEGE,818,7,0,7
1681,SHRI RAMANAS ABC POLYTECHNIC COLLEGE,841,154,119,35
1667,U.S.P.POLYTECHNIC COLLEGE,822,74,0,74
1664,SRI THIAGARAJAR POLYTECHNIC COLLEGE,819,139,0,139
1665,JESU POLYTECHNIC COLLEGE,820,394,0,394
1672,THIRUMALAI POLYTECHNIC COLLEGE,829,515,0,514
1673,MUTHAYAMMAL POLYTECHNIC INSTITUTION,830,483,483,0
1668,BWDA POLYTECHNIC COLLEGE,823,52,0,52
1669,NACHIAPPA SWAMIGAL POLYTECHNIC COLLEGE,824,255,0,255
1657,SURYA POLYTECHNIC  COLLEGE,812,365,0,365
1662,SHRI KRISHNAA POLYTECHNIC COLLEGE,817,104,0,104
1674,RAASI POLYTECHNIC COLLEGE,831,93,0,93
1675,S.M.S. POLYTECHNIC COLLEGE,833,103,0,103
1659,ANNAI MADHA POLYTECHNIC COLLEGE,814,229,0,229
1677,K E T POLYTECHNIC COLLEGE,837,175,0,175
1682,DEVANGAR POLYTECHNIC COLLEGE,842,266,87,179
1666,K.M.G.POLYTECHNIC COLLEGE,821,159,0,159
1676,S. THANGAPAZHAM POLYTECHNIC COLLEGE,836,438,0,438
1683,SRI MAHALAKSHMI POLYTECHNIC COLLEGE,843,200,0,200
1691,GOLDEN POLYTECHNIC COLLEGE,853,42,19,23
1693,V.K.P. POLYTECHNIC COLLEGE,857,68,0,68
1688,JEYA POLYTECHNIC COLLEGE,849,19,19,0
1707,M.M POLYTECHNIC COLLEGE,871,25,0,25
1687,KUMARAN POLYTECHNIC COLLEGE,848,131,0,131
1705,RANGANATHAN POLYTECHNIC COLLEGE,869,31,31,0
1689,THAAI POLYTECHNIC COLLEGE,850,89,0,89
1708,VELLORE POLYTECHNIC COLLEGE,872,212,164,48
1698,SWAMI VIVEKANANDA POLYTECHNIC COLLEGE,862,61,0,61
1685,SRI ANNAI POLYTECHNIC COLLEGE,845,67,0,67
949,Pavendar Bharathidasan College of Engineering and Technology,8131,337,0,337
1696,BHARATH NIKETAN POLYTECHNIC COLLEGE,860,190,0,190
1694,DR. KALAM POLYTECHNIC COLLEGE,858,119,0,119
1706,PSV POLYTECHNIC COLLEGE,870,134,0,134
1690,MEENAKSHI POLYTECHNIC COLLEGE,851,186,0,186
1686,HI-TECH POLYTECHNIC COLLEGE,846,128,128,0
493,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY,1121,40,0,40
1699,SREE VAIKUNDAR POLYTECHNIC COLLEGE,863,140,0,140
1702,VIVEKANANDA POLYTECHNIC COLLEGE,866,353,0,353
1703,ST. JOSEPH'S POLYTECHNIC COLLEGE,867,218,0,218
